DATE,Cocoa,Sugar,Arabica Coffee
2/1/2000,860.7399689,5.351,101.6453333
3/1/2000,925.9258035,5.1112,97.946
4/1/2000,911.9523566,6.011,92.564
5/1/2000,909.422414,6.780869565,91.75727273
6/1/2000,948.2278578,8.334545455,84.10272727
7/1/2000,967.1115501,9.64047619,84.67333333
8/1/2000,877.7927264,10.59782609,74.52478261
9/1/2000,882.7291756,9.8575,73.8315
10/1/2000,877.7229441,10.41318182,75.37136364
11/1/2000,873.9871595,9.5135,70.4715
12/1/2000,892.7826468,9.7175,64.49526316
1/1/2001,966.3949922,10.05952381,64.98428571
2/1/2001,1157.466575,9.3625,66.941
3/1/2001,1124.405514,8.716818182,65.92772727
4/1/2001,1083.662826,8.052105263,65.50578947
5/1/2001,1077.436127,8.959545455,68.93863636
6/1/2001,973.2910549,8.742857143,63.6675
7/1/2001,965.322727,8.536190476,58.47238095
8/1/2001,1032.483809,7.904347826,59.67695652
9/1/2001,1026.203294,7.160666667,57.712
10/1/2001,1084.862378,6.596086957,56.53173913
11/1/2001,1231.550779,7.278,58.95578947
12/1/2001,1337.429456,7.41,55.599375
1/1/2002,1385.932977,7.313809524,57.33571429
2/1/2002,1490.387183,5.683157895,60.50947368
3/1/2002,1592.029232,5.9245,66.379
4/1/2002,1568.146408,5.178181818,65.77954545
5/1/2002,1604.695838,5.611818182,58.43227273
6/1/2002,1656.45667,5.246,55.163
7/1/2002,1871.998523,5.794761905,53.08571429
8/1/2002,1959.272733,5.856818182,52.02318182
9/1/2002,2167.41226,6.4095,57.5775
10/1/2002,2201.495108,7.02,64.05304348
11/1/2002,1825.057438,7.296842105,70.18444444
12/1/2002,2025.611022,7.508,63.86190476
1/1/2003,2190.138111,7.89047619,65.21857143
2/1/2003,2230.35225,8.348333333,67.595
3/1/2003,1989.836126,7.843333333,61.66190476
4/1/2003,1932.135407,7.261904762,65.322
5/1/2003,1729.21476,7.013809524,66.17722222
6/1/2003,1579.108465,6.404761905,61.34428571
7/1/2003,1556.866105,6.732272727,62.28619048
8/1/2003,1565.54768,6.709047619,63.598
9/1/2003,1625.388516,6.271428571,65.5075
10/1/2003,1481.681288,6.09826087,62.5826087
11/1/2003,1510.00935,6.191111111,62.36222222
12/1/2003,1646.580547,6.343809524,64.88388235
1/1/2004,1626.397853,6.030526316,73.7309
2/1/2004,1566.086028,5.873157895,77.50526316
3/1/2004,1504.428407,6.496086957,77.47
4/1/2004,1435.668066,6.86047619,74.34473684
5/1/2004,1413.041782,6.6225,75.80833333
6/1/2004,1404.71354,7.514285714,82.157
7/1/2004,1567.864379,8.165714286,73.96315789
8/1/2004,1727.333603,7.879090909,73.16857143
9/1/2004,1541.136667,8.674285714,80.98842105
10/1/2004,1483.80205,8.963809524,79.80904762
11/1/2004,1665.708547,8.666,89.50894737
12/1/2004,1672.748829,8.795238095,102.573125
1/1/2005,1549.885522,8.922,107.1052632
2/1/2005,1719.461187,9.323684211,122.23125
3/1/2005,1763.91376,8.895,134.6904762
4/1/2005,1585.950389,8.525714286,128.7947368
5/1/2005,1509.46467,8.511428571,126.1571429
6/1/2005,1538.629959,9.033181818,119.9825
7/1/2005,1488.315932,9.5975,108.4515
8/1/2005,1482.230836,9.875217391,108.426087
9/1/2005,1504.155998,10.81047619,98.17428571
10/1/2005,1453.830305,11.61285714,106.0895238
11/1/2005,1428.77721,11.808,108.814
12/1/2005,1511.320228,13.92714286,103.03
1/1/2006,1576.229801,16.187,124.3585
2/1/2006,1546.368492,18.05263158,118.5172222
